OLD,,,,,,,,,,,,,,,,,,
coast,type,species,commonName,juvMeanM2,juvStDevM2,juvMeanHa,juvMeanAcre,juvStDevAcre,rYears,meanNumIndR,indMeanAcreAgeR,meanProductionGM2,stDevProductionGM2,meanProductionKgHa,meanProductionKgAcre,stDevProductionKgAcre,abundanceWeight,
Gulf of Mexico,crustacean,Callinectes sapidus,Blue Crab,1.317,0.827,13170,29997,27241,0.75,3.227,13058,143.86,64.169,1438.6,20,18,1,
Gulf of Mexico,crustacean,Farfantepenaeus aztecus,Brown Shrimp,1.036,0.627,10360,4195,2539,0.5,0.007,27,7,4.2,70,28,17,1,
Gulf of Mexico,fish,Ctenogobius boleosoma,Darter Goby,0.234,0.169,2340,946,682,,,NA,0.5,0.3,5,2,1,1,
Gulf of Mexico,fish,Hypsoblennius hentz,Feather Blenny,0.074,0.02,740,298,81,,,NA,0.2,0.1,2,1,0.4,1,
Gulf of Mexico,fish,Hypsoblennius ionthas,Freckled Blenny,0.392,0.269,3920,1586,1087,,,NA,1.3,0.9,13,5,4,1,
Gulf of Mexico,fish,Bathygobius soporator,Frillfin Goby,0.024,0.009,240,97,36,,,NA,2,0.7,20,8,3,1,
Gulf of Mexico,fish,Gobiosoma bosc,Naked Goby,1.92,0.488,19200,7770,1973,,,NA,2.2,0.6,22,9,2,1,
Gulf of Mexico,fish,Orthopristis chrysoptera,Pigfish,0.044,0.018,440,177,72,1,0.031,127,5.8,2.4,58,23,10,1,
Gulf of Mexico,fish,Lagodon rhomboides,Pinfish,0.415,0.209,4150,1680,846,,,NA,33.2,16.7,332,134,68,1,
Gulf of Mexico,fish,Prionotus spp.,Sea Robin,0.012,0.015,120,50,60,,,NA,2.2,2.7,22,9,11,1,
Gulf of Mexico,fish,Archosargus probatocephalus,Sheepshead,0.139,0.101,1390,563,408,2,0.097,391,137.2,99.0376,1372,587,424,1,
Gulf of Mexico,fish,Bairdiella chrysoura,Silver Perch,0.501,0.481,5010,2027,1945,,,NA,41,39.5,410,166,160,1,
Gulf of Mexico,fish,Gobiesox strumosus,Skilletfish,0.959,0.42,9590,3883,1698,,,NA,3.1,1.4,31,13,6,1,
Gulf of Mexico,fish,Chaetodipterus faber,Spadefish,0.006,0.004,60,23,17,,,NA,3,2.2,30,12,9,1,
Gulf of Mexico,fish,Leiostomus xanthurus,Spot,0.342,0.167,3420,1385,674,,,NA,17.9,8.7,179,72,35,1,
Gulf of Mexico,crustacean,Menippe mercenaria,Stone Crab,1.936,0.214,19360,7834,865,3,0.068,276,61.4,6.8,614,27,25,1,
Gulf of Mexico,fish,Chasmodes bosquianus,Striped Blenny,0.076,0.039,760,307,158,,,NA,0.2,0.1,2,1,0.4,1,
Gulf of Mexico,fish,Opsanus beta,Toadfish ,1.325,0.527,13250,3798,2133,,,NA,41.9,16.6,419,62,25,1,
Gulf of Mexico,crustacean,Litopanaeus setiferus,White Shrimp,4.64,2.726,46400,18680,11032,0.5,0.029,118,24.2,14.3,242,98,58,1,
,,,,,,,,,,,,,,,,,,
NEW,,,,,,,,,,,,,,,,,,
coast,species,commonName,juvMeanM2,juvStDevM2,juvMeanHa,juvMeanAcre,juvStDevAcre,meanProductionGM2,meanProductionKgHa,meanProductionKgAcre,stDevProductionGM2,stDevProductionKgHa,stDevProductionKgAcre,abundanceWeight,,,,
Gulf of Mexico,Archosargus probatocephalus,Sheepshead,0.34,0.18,3400,1375.9,728.4,168.7,1687,682.7,63.4,634,256.6,1,,,,
Gulf of Mexico,Bairdiella chrysoura,Silver perch,0.49,0.15,4900,1983.0,607.0,70.1,701,283.7,15.3,153,61.9,1,,,,
Gulf of Mexico,Bathygobius soporator,Frillfin goby,0.04,0.02,400,161.9,80.9,0.5,5,2.0,0.2,2,0.8,1,,,,
Gulf of Mexico,Callinectes sapidus,Blue crab,0.39,0.64,3900,1578.3,2590.0,36.9,369,149.3,42.6,426,172.4,1,,,,
Gulf of Mexico,Chasmodes longimaxilla,Stretchjaw blenny,0.12,0.05,1200,485.6,202.3,0.9,9,3.6,0.2,2,0.8,1,,,,
Gulf of Mexico,Cyprinodon variegatus,Sheepshead minnow,0.08,0.11,800,323.7,445.2,0.7,7,2.8,0.7,7,2.8,1,,,,
Gulf of Mexico,Eucinostomus melanopterus,Flagfin mojarra,0.16,0.16,1600,647.5,647.5,32.6,326,131.9,23.1,231,93.5,1,,,,
Gulf of Mexico,Farfantepenaeus aztecus,Brown shrimp,0.52,0.31,5200,2104.4,1254.5,19.9,199,80.5,8.8,88,35.6,1,,,,
Gulf of Mexico,Gobiesox strumosus,Skilletfish,1.76,0.64,17600,7122.5,2590.0,7,70,28.3,1.8,18,7.3,1,,,,
Gulf of Mexico,Gobiosoma bosc,Naked goby,3.19,1.01,31900,12909.5,4087.3,5.5,55,22.3,1.2,12,4.9,1,,,,
Gulf of Mexico,Gobiosoma robustum,Code Goby,1.51,1.19,15100,6110.8,4815.8,1,10,4.0,0.6,6,2.4,1,,,,
Gulf of Mexico,Hypsoblennius hentz,Feather blenny,0.1,0.03,1000,404.7,121.4,0.3,3,1.2,0.1,1,0.4,1,,,,
Gulf of Mexico,Hypsoblennius ionthas,Freckled blenny,0.17,0.06,1700,688.0,242.8,0.6,6,2.4,0.2,2,0.8,1,,,,
Gulf of Mexico,Lagodon rhomboides,Pinfish,0.54,0.22,5400,2185.3,890.3,40.8,408,165.1,11.5,115,46.5,1,,,,
Gulf of Mexico,Litopenaeus setiferus,White shrimp,5.64,4.49,56400,22824.3,18170.4,77.7,777,314.4,44.2,442,178.9,1,,,,
Gulf of Mexico,Menippe sp.,Stone crab,1.2,0.67,12000,4856.2,2711.4,160.6,1606,649.9,65,650,263.0,1,,,,
Gulf of Mexico,Myrophis punctatus,Speckled worm eel,0.05,0.11,500,202.3,445.2,0.9,9,3.6,1.3,13,5.3,1,,,,
Gulf of Mexico,Opsanus beta,Gulf toadfish,1.83,0.58,18300,7405.8,2347.2,9,90,36.4,2,20,8.1,1,,,,
Gulf of Mexico,Orthopristis chrysoptera,Pigfish,0.09,0.01,900,364.2,40.5,10.6,106,42.9,1.3,13,5.3,1,,,,
Gulf of Mexico,Paralichthys lethostigma,Southern flounder,0.02,0.02,200,80.9,80.9,6.3,63,25.5,4.7,47,19.0,1,,,,